tradingsymbol,instrument_token
ONGC,633601
JSWSTEEL,3001089
INDUSINDBK,1346049
UPL,2889473
HCLTECH,1850625
COALINDIA,5215745
BAJAJFINSV,4268801
CIPLA,177665
GRASIM,315393
TATASTEEL,895745
NTPC,2977281
TCS,2953217
ASIANPAINT,60417
DRREDDY,225537
TATAMOTORS,884737
SUNPHARMA,857857
ULTRACEMCO,2952193
WIPRO,969473
HINDUNILVR,356865
HDFC,340481
EICHERMOT,232961
ITC,424961
IOC,415745
BHARTIARTL,2714625
RELIANCE,738561
KOTAKBANK,492033
HDFCLIFE,119553
SBIN,779521
TITAN,897537
LT,2939649
ADANIPORTS,3861249
HINDALCO,348929
BRITANNIA,140033
M&M,519937
INFY,408065
NESTLEIND,4598529
POWERGRID,3834113
SHREECEM,794369
ICICIBANK,1270529
AXISBANK,1510401
HDFCBANK,341249
BPCL,134657
BAJAJ-AUTO,4267265
HEROMOTOCO,345089
MARUTI,2815745
DIVISLAB,2800641
SBILIFE,5582849
TATACONSUM,878593
TECHM,3465729
BAJFINANCE,81153
JUBLFOOD,4632577
GODREJIND,2796801
COLPAL,3876097
GODREJCP,2585345
EMAMILTD,3460353
UBL,4278529
MCDOWELL-N,2674433
MARICO,1041153
DABUR,197633
MINDTREE,3675137
TATAELXSI,873217
LICHSGFIN,511233
PETRONET,2905857
SKFINDIA,815617
OFSS,2748929
WHIRLPOOL,4610817
SIEMENS,806401
BATAINDIA,94977
KANSAINER,306177
SCHAEFFLER,258817
CUMMINSIND,486657
SONATSOFTW,1688577
MPHASIS,1152769
PFIZER,676609
CRISIL,193793
GLAXO,295169
GLENMARK,1895937
LUPIN,2672641
AUROPHARMA,70401
BIOCON,2911489
IBULHSGFIN,7712001
SUNTV,3431425
INOXLEISUR,3384577
PVR,3365633
APLAPOLLO,6599681
JINDALSTEL,1723649
PHOENIXLTD,3725313
GODREJPROP,4576001
OBEROIRLTY,5181953
PRESTIGE,5197313
PEL,617473
TVSMOTOR,2170625
BHARATFORG,108033
BAJAJHLDNG,78081
RBLBANK,4708097
SRTRANSFIN,1102337
ALKEM,2995969
INDIACEM,387841
PAYTM,1716481
LICI,2426881
